analyte,input_mode,outer_fold,patch_id,concentration_order,actual_concentration,prediction_raw,prediction_reported,absolute_error,central_area_fraction,central_attention_fraction,central_attention_enrichment,positive_central_attention_fraction,center_occlusion_change,outer_occlusion_change,center_occlusion_change_per_10pct_area,outer_occlusion_change_per_10pct_area,prediction_reproduction_difference
glucose,roi_masked,1,glucose_03_c0.05_wE08,3,0.05,0.7793480481438317,0.7793480481438317,0.7293480481438317,0.2674696180555556,0.7784788012504578,2.9105316966832526,0.0,3.9293211847433067,0.09558663584363547,1.4690719691113312,0.013048828854020806,0.0
glucose,roi_masked,1,glucose_03_c0.05_wE10,3,0.05,-0.2719938595351099,0.0,0.05,0.2713758680555556,0.763541579246521,2.8135942400383596,0.0,4.9494892408080045,0.12175091474942956,1.8238501736619979,0.016709701121827892,0.0
glucose,roi_masked,1,glucose_03_c0.05_wE11,3,0.05,-0.013447559711423196,0.0,0.05,0.2744140625,0.769592821598053,2.8044948374249334,0.0,4.709006134945664,0.07871540807933908,1.71602216447842,0.010848529996398818,9.540979117872439e-17
glucose,roi_masked,1,glucose_03_c0.05_wF01,3,0.05,-0.12035149142677781,0.0,0.05,0.2744140625,0.7667273283004761,2.7940526127391014,0.0,4.7971232420384045,0.102822793146359,1.7481331672054543,0.014171001370373032,1.3877787807814457e-17
glucose,roi_masked,1,glucose_03_c0.05_wF12,3,0.05,-0.2925329359333162,0.0,0.05,0.2722439236111111,0.7569652795791626,2.7804671249906585,0.0,4.983459841936599,0.11305749235767859,1.8305127900871943,0.0155350805064614,0.0
glucose,roi_masked,1,glucose_03_c0.05_wG06,3,0.05,-0.2435544951870483,0.0,0.05,0.2713758680555556,0.7638126611709595,2.8145931568778737,0.0,4.929533269525337,0.12230754223425411,1.8164965458594764,0.016786095446476336,0.0
glucose,roi_masked,1,glucose_03_c0.05_wG09,3,0.05,0.1705277780197214,0.1705277780197214,0.12052777801972141,0.2670355902777778,0.7775223851203918,2.9116807400526334,0.0,4.546966954350356,0.1102862997293661,1.7027569057819132,0.015046610485652675,0.0
glucose,roi_masked,1,glucose_03_c0.05_wG11,3,0.05,-0.11675093180927298,0.0,0.05,0.2722439236111111,0.7744719982147217,2.8447723936017835,0.0,4.824512857914548,0.12623817637602208,1.7721287564185124,0.017346220865982104,8.326672684688674e-17
glucose,roi_masked,1,glucose_03_c0.05_wG12,3,0.05,-0.2124940444780421,0.0,0.05,0.2683376736111111,0.7598693370819092,2.831765390435453,0.0,4.8983776088397155,0.09087003413745887,1.8254528120932803,0.012419668316933426,0.0
glucose,roi_masked,1,glucose_03_c0.05_wH05,3,0.05,-0.058989084542806935,0.0,0.05,0.2731119791666667,0.7712705135345459,2.824008364217074,0.0,4.75014699792009,0.08361436700157565,1.73926717253999,0.011503060252075255,3.469446951953614e-17
glucose,roi_masked,1,glucose_04_c0.1_wA06,4,0.1,-0.0018117359513922793,0.0,0.1,0.2648654513888889,0.7540086507797241,2.846761051038893,0.0,4.666375631508565,0.12374609380984225,1.7617909799255607,0.016833121779358022,7.936359902593892e-17
glucose,roi_masked,1,glucose_04_c0.1_wA11,4,0.1,0.39592249154763337,0.3959224915476333,0.2959224915476333,0.2648654513888889,0.7630446553230286,2.8808765028500742,0.0,4.267045156244245,0.14189660920557134,1.6110236853726734,0.01930212768174975,5.551115123125783e-17
glucose,roi_masked,1,glucose_04_c0.1_wA12,4,0.1,0.750620416056849,0.750620416056849,0.6506204160568491,0.2726779513888889,0.7676963210105896,2.815395660339671,0.0,3.95066317538498,0.07497589067055799,1.4488385127078383,0.01030848587826141,0.0
glucose,roi_masked,1,glucose_04_c0.1_wC01,4,0.1,0.05647647865050942,0.0564764786505094,0.043523521349490606,0.2661675347222222,0.7631739377975464,2.8672690626751685,0.0,4.612171865179498,0.11330912938944504,1.732807823460834,0.015440735419978197,2.0816681711721685e-17
glucose,roi_masked,1,glucose_04_c0.1_wC03,4,0.1,0.10702566004601533,0.1070256600460153,0.007025660046015292,0.2726779513888889,0.7802891135215759,2.8615775846457794,0.0,4.61188309974075,0.07167633990750844,1.6913296715961301,0.009854828413957895,2.7755575615628914e-17
glucose,roi_masked,1,glucose_04_c0.1_wC09,4,0.1,0.12299983364485367,0.1229998336448536,0.0229998336448536,0.2713758680555556,0.7852289080619812,2.893510442502686,0.0,4.600990379147658,0.1327767576033425,1.6954309210005922,0.01822294263696805,6.938893903907228e-17
