analyte,feature_space,model,target_transform,outer_fold,feature_group,mean_absolute_shap,shap_share,permutation_mae_increase,permutation_mae_increase_std,permutation_share,shap_direction_rho,observed_concentration_rho,direction_aligned,shap_additivity_max_error
glucose,HSV_primary,ExtraTrees,raw,5,Hue,4.863301733949734,0.8478786668331016,5.775038660287081,0.3285881754971532,0.9099060424533585,-0.8844076975655923,-0.9,True,3.836930773104541e-13
glucose,HSV_primary,ExtraTrees,raw,5,Saturation,0.5798477931854049,0.10109193316551036,0.3066884316852738,0.03035188414408393,0.048321348748703016,-0.884047510447622,-0.8192412728200082,True,3.836930773104541e-13
glucose,HSV_primary,ExtraTrees,raw,5,Value,0.292696796389637,0.05102940000138809,0.26512455077086655,0.04699873658826276,0.0417726087979386,0.7498462753852335,0.690909090909091,True,3.836930773104541e-13
ketone,RGB_primary,RandomForest,raw,1,R,0.17565626280442473,0.06007307516609992,0.3305090138888888,0.03476143883172913,0.10791449695420363,-0.8965514617195606,-0.9761904761904763,True,4.2810199829546036e-13
ketone,RGB_primary,RandomForest,raw,1,G,1.898887159978002,0.6494046342105548,1.9468336851851853,0.14010198606894286,0.6356606596541622,-0.8860807504779794,-0.9761904761904763,True,4.2810199829546036e-13
ketone,RGB_primary,RandomForest,raw,1,B,0.8494997083331587,0.29052229062334534,0.7853506666666666,0.05640594684028999,0.25642484339163424,0.8845482708691857,0.9047619047619048,True,4.2810199829546036e-13
ketone,RGB_primary,RandomForest,raw,2,R,0.15077333973402018,0.054656282417514315,0.27952153508771926,0.03604374754596467,0.09481826494425026,-0.8748459002050272,-0.9761904761904763,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,2,G,1.9205778586793296,0.6962215338201251,1.9520576267056526,0.12841894143916133,0.6621697937417805,-0.9440024652679947,-0.9761904761904763,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,2,B,0.6872217060201519,0.24912218376236073,0.7163922575536064,0.05486326836993639,0.2430119413139692,0.7817396016659257,0.9047619047619048,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,3,R,0.10530524608729545,0.0354125749318138,0.1595917392787525,0.01617677175263204,0.050481667879844185,-0.8187741905213527,-0.9761904761904763,True,5.364597654988756e-13
