analyte,feature_space,model,outer_fold,patch_id,actual_concentration,prediction,feature_group,feature_value,shap_value,normalized_shap_percent
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wC01,1.0,0.7573333333333333,R,110.0,-0.29259498110610754,-1.4629749055305377
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wC03,1.0,0.43,R,94.0,-0.7898273724488672,-3.949136862244336
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wC09,1.0,1.0,R,80.0,-0.9031382633455516,-4.515691316727758
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wD02,1.0,0.45666666666666667,R,96.0,-0.7055974393920855,-3.527987196960428
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wD03,1.0,0.69,R,100.0,-0.37624946985646746,-1.8812473492823372
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wE02,1.0,0.96,R,95.0,-0.6762670908176949,-3.3813354540884744
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wE03,1.0,0.83,R,96.0,-0.49780844985602635,-2.4890422492801316
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wE08,1.0,0.33666666666666667,R,99.0,-0.5539944874886223,-2.7699724374431116
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wE10,1.0,1.0766666666666667,R,92.0,-0.6639072209869731,-3.3195361049348655
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wE11,1.0,0.0,R,91.0,-0.8376286222006405,-4.188143111003202
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wF01,1.0,0.6066666666666667,R,114.0,0.05430120757357814,0.27150603786789074
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wF12,1.0,0.46146666666666664,R,98.0,-0.5066773328504919,-2.5333866642524594
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wG06,1.0,0.5,R,99.0,-0.5083592494350531,-2.5417962471752653
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wG09,1.0,1.0,R,91.0,-0.6702284827562176,-3.351142413781088
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wG11,1.0,0.7733333333333333,R,94.0,-0.6318627764060043,-3.1593138820300215
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wG12,1.0,0.9353333333333332,R,97.0,-0.3769044721274803,-1.8845223606374013
glucose,RGB_primary,ExtraTrees,1,glucose_06_c1_wH05,1.0,1.0,R,103.0,-0.3170859623376235,-1.5854298116881176
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wA06,2.5,2.5366666666666666,R,115.0,0.26047581091331345,1.3023790545665672
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wA11,2.5,2.21,R,124.0,-0.059671574863509574,-0.29835787431754784
