analyte,outer_fold,feature_set,model,feature_count,target_transform,inner_best_mae,mae,rmse,r2,normalized_mae
ketone,3,G_only,ExtraTrees,1,log1p,0.6163565145551001,0.6339318303147129,1.300490343414155,0.8522390037746996,0.06339318303147129
ketone,3,Hue_only,Ridge,2,log1p,0.44244378688917985,0.4434608656114847,0.748748547951597,0.9510201406878156,0.04434608656114847
ketone,3,Hue_only,ElasticNet,2,log1p,0.4431923452053148,0.44472215101878704,0.7508006591481174,0.9507512924721316,0.0444722151018787
ketone,3,Hue_only,SVR,2,log1p,0.1164747331268893,0.13391255783410125,0.3926477727904257,0.986530489173165,0.013391255783410124
ketone,3,Hue_only,RandomForest,2,raw,0.03991032638888891,0.0716964912280702,0.41268060607639284,0.9851210026515482,0.00716964912280702
ketone,3,Hue_only,ExtraTrees,2,log1p,0.04590170319560928,0.06305337352536364,0.3481363323188724,0.9894112609346865,0.006305337352536364
ketone,4,G_only,Ridge,1,log1p,0.9818237990141061,0.8643941799540479,1.481503474706323,0.808243146066233,0.08643941799540479
ketone,4,G_only,ElasticNet,1,log1p,0.9830599194047389,0.8659504489937072,1.4834398763215753,0.8077415462331852,0.08659504489937073
ketone,4,G_only,SVR,1,raw,0.5860478712826556,0.6561068564489598,1.5037596580052714,0.802438458433931,0.06561068564489599
ketone,4,G_only,RandomForest,1,log1p,0.6445163970955766,0.5830121448765828,1.2379289633154082,0.8661134363234237,0.05830121448765828
ketone,4,G_only,ExtraTrees,1,raw,0.6486726653830838,0.6250455170364532,1.2448410966807881,0.8646141169404054,0.06250455170364531
ketone,4,Hue_only,Ridge,2,log1p,0.42039910171785505,0.33616300542857475,0.5588124086636101,0.9727179104894944,0.033616300542857476
ketone,4,Hue_only,ElasticNet,2,log1p,0.42121410000611126,0.33705217035393337,0.5601891764262581,0.9725833130069677,0.03370521703539334
ketone,4,Hue_only,SVR,2,raw,0.13332271427255343,0.09767497806686552,0.33546224546921233,0.9901682042819259,0.009767497806686553
ketone,4,Hue_only,RandomForest,2,raw,0.031523562500000026,0.04013157894736845,0.3285682629101795,0.9905681524947867,0.004013157894736845
ketone,4,Hue_only,ExtraTrees,2,raw,0.03760091666666669,0.04408859649122811,0.33279363387621763,0.9903240065242302,0.00440885964912281
ketone,5,G_only,Ridge,1,log1p,0.9500244188883282,0.9673513805784028,1.5302243855952717,0.7954234811758956,0.09673513805784027
ketone,5,G_only,ElasticNet,1,log1p,0.9512889231990034,0.9688423800972105,1.5323295606482696,0.794860210023986,0.09688423800972104
ketone,5,G_only,SVR,1,raw,0.6123859202049515,0.5672167992385314,1.1998569142512148,0.8742220639227551,0.056721679923853144
ketone,5,G_only,RandomForest,1,log1p,0.6380243998141104,0.5866921580875326,1.13930355504331,0.8865970239185286,0.05866921580875326
ketone,5,G_only,ExtraTrees,1,log1p,0.6536316267923238,0.5951671992433955,1.1356023974305083,0.8873326321390206,0.059516719924339545
ketone,5,Hue_only,Ridge,2,log1p,0.4426713582754749,0.43061774503904227,0.7145275657924216,0.9553950021026094,0.04306177450390423
ketone,5,Hue_only,ElasticNet,2,log1p,0.4435294122107699,0.43157097149644885,0.7164075329485319,0.9551599761912497,0.043157097149644885
ketone,5,Hue_only,SVR,2,log1p,0.11940752551838676,0.1138822267644631,0.3261236619879809,0.9907079793217662,0.011388222676446309
ketone,5,Hue_only,RandomForest,2,raw,0.029510930555555575,0.05317763157894738,0.4112875001832873,0.9852212885980972,0.005317763157894738
ketone,5,Hue_only,ExtraTrees,2,log1p,0.03796111870430678,0.06216525812577546,0.4405046341721923,0.9830470020218011,0.006216525812577546
