mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,analyte,input_mode,model,outer_fold,target_transform,best_epoch,epochs_run,training_seconds,inference_seconds,inference_ms_per_patch,parameter_count,model_size_bytes,validation_mae,evaluation_unit,n_observations
0.03731617077997475,0.061710231353897055,0.9996672945644308,0.9940297973880048,0.003731617077997475,0.006171023135389706,0.022623621534809846,0.13549929528244342,0.375,ketone,full_patch,TinyColorCNN,2,raw,56,74,12.715140800006338,0.015749100013636053,0.10361250008971087,169049,687778,0.13269319994373308,concentration_median,8
0.18224108531839125,0.4585846152179664,0.9816268124395122,0.9361051291505864,0.018224108531839124,0.04585846152179664,0.056765547539063516,0.29347596592980496,0.3618421052631579,ketone,roi_masked,TinyColorCNN,3,log1p,12,30,5.151187199997366,0.015262400003848597,0.1004105263411092,169049,687778,0.10723855911845195,patch,152
0.039506174206198834,0.0635482586970782,0.9996471802753747,0.9940297973880048,0.0039506174206198836,0.006354825869707819,0.025819707857545598,0.15034866583189016,0.375,ketone,roi_masked,TinyColorCNN,3,log1p,12,30,5.151187199997366,0.015262400003848597,0.1004105263411092,169049,687778,0.10723855911845195,concentration_median,8
0.1720831867083364,0.3967012314516091,0.9862509514904277,0.9573707135450089,0.01720831867083364,0.03967012314516091,0.04618741859882507,0.21092876689181836,0.27631578947368424,ketone,full_patch,TinyColorCNN,3,log1p,34,52,9.004318200008129,0.014537099996232428,0.09563881576468702,169049,687778,0.129891350121617,patch,152
0.035261169667793045,0.048625135771812135,0.9997934300230963,0.9940297973880048,0.0035261169667793043,0.004862513577181213,0.018300557970303884,0.0431285319840515,0.25,ketone,full_patch,TinyColorCNN,3,log1p,34,52,9.004318200008129,0.014537099996232428,0.09563881576468702,169049,687778,0.129891350121617,concentration_median,8
0.13339656239492798,0.3172755971557124,0.9912053433819061,0.9609376338863305,0.013339656239492797,0.031727559715571244,0.05526021297239597,0.19968274171116276,0.18421052631578946,ketone,roi_masked,TinyColorCNN,4,raw,85,103,18.328934100005426,0.015445500001078472,0.10161513158604257,169049,687778,0.14490883008973138,patch,152
0.04474300008293257,0.05791725407437093,0.9997069366744209,1.0,0.004474300008293257,0.005791725407437093,0.026990520968470537,0.09058917892615663,0.125,ketone,roi_masked,TinyColorCNN,4,raw,85,103,18.328934100005426,0.015445500001078472,0.10161513158604257,169049,687778,0.14490883008973138,concentration_median,8
0.14837073685515778,0.3387383385804744,0.9899752337882323,0.9690801617088726,0.014837073685515779,0.033873833858047445,0.04903429985803696,0.35522921755838005,0.21052631578947367,ketone,full_patch,TinyColorCNN,4,log1p,32,50,8.505705399991712,0.016264999998384155,0.10700657893673786,169049,687778,0.13014671503792596,patch,152
0.08553783919368356,0.19878268503691596,0.9965477467114506,1.0,0.008553783919368356,0.019878268503691596,0.024687647143878937,0.23881035869608302,0.25,ketone,full_patch,TinyColorCNN,4,log1p,32,50,8.505705399991712,0.016264999998384155,0.10700657893673786,169049,687778,0.13014671503792596,concentration_median,8
0.11506426088571635,0.22793381586255002,0.9954609698316575,0.9586486236936577,0.011506426088571635,0.022793381586255,0.04492028613030681,0.13200531016829248,0.11842105263157894,ketone,roi_masked,TinyColorCNN,5,raw,118,120,20.607385999988765,0.01405240000167396,0.09245000001101289,169049,687778,0.11747901610165563,patch,152
