analyte,feature_set,model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,inner_best_mae_mean,inner_best_mae_std
glucose,RGB_HSV_combined,ExtraTrees,concentration_median,0.10857939393939393,0.023838461025384384,0.1940111894054198,0.04539713204630388,0.999119525242017,0.00041359455403307266,0.9454545454545455,0.0,0.005428969696969697,0.001191923051269219,0.00970055947027099,0.002269856602315194,0.047183850346996306,0.008291550406878852,0.10857939393939393,0.023838461025384384,0.0,0.0,4.387755199996173,0.14509371348795663,0.008804659999441355,0.0006312860452542303,0.365234398989899,0.012039912927007365
glucose,RGB_HSV_combined,ExtraTrees,patch,0.3452157192982456,0.04387517515757246,0.8809524959709872,0.10635210791204987,0.9824051904303645,0.0042105316335751646,0.9163620161749751,0.009009404017601988,0.017260785964912283,0.0021937587578786215,0.04404762479854936,0.005317605395602496,0.08132285472116445,0.004806600355183478,0.3452157192982456,0.04387517515757246,0.0,0.0,4.387755199996173,0.14509371348795663,0.008804659999441355,0.0006312860452542303,0.365234398989899,0.012039912927007365
glucose,RGB_HSV_combined,RandomForest,concentration_median,0.11435790178000063,0.026412918595027507,0.20761958433654285,0.0654746295022379,0.9989571327695647,0.0007231399609323975,0.9454545454545455,0.0,0.005717895089000032,0.0013206459297513756,0.010380979216827142,0.0032737314751118953,0.05009659294505566,0.0031809911381217746,0.11435790178000063,0.026412918595027507,0.0,0.0,7.648513480002293,0.18808162853273233,0.008047579994308763,0.0009707810454022707,0.37235740079165275,0.012127664188725119
glucose,RGB_HSV_combined,RandomForest,patch,0.35064026559994177,0.058242247814188366,0.943641665048142,0.15070098323880773,0.9796374821200338,0.006502290167071905,0.9174188964266966,0.005486815292764647,0.017532013279997087,0.002912112390709418,0.0471820832524071,0.007535049161940391,0.07974065160208808,0.005711262823163384,0.35064026559994177,0.058242247814188366,0.0,0.0,7.648513480002293,0.18808162853273233,0.008047579994308763,0.0009707810454022707,0.37235740079165275,0.012127664188725119
glucose,RGB_HSV_combined,Ridge,concentration_median,0.8454047401273439,0.04346685184223473,1.4883493318534051,0.09789907750150594,0.9501855164012651,0.006487641488508486,0.9376977304161551,0.007824534710037169,0.042270237006367194,0.002173342592111734,0.07441746659267026,0.004894953875075296,0.12961043406701092,0.002324021541213557,0.8483422294946446,0.043254694379584145,0.10909090909090909,0.040655781409087086,0.1264847800048301,0.004837903946448521,0.001250640000216663,6.196630858012137e-05,0.9437417000187365,0.015682936120940093
glucose,RGB_HSV_combined,Ridge,patch,0.9289285779478742,0.040425509861289774,1.6456296023170403,0.05030621072252995,0.9392657047552122,0.003712378894265027,0.8992207163146386,0.009237385924864823,0.04644642889739371,0.0020212754930644876,0.08228148011585201,0.002515310536126497,0.15066416968917315,0.0037570204148525883,0.9396133683049085,0.04045399635878431,0.10143540669856459,0.010372958559176464,0.1264847800048301,0.004837903946448521,0.001250640000216663,6.196630858012137e-05,0.9437417000187365,0.015682936120940093
glucose,RGB_HSV_combined,SVR,concentration_median,0.2020567449598932,0.036860827668184125,0.3475588545557529,0.0956084174931289,0.9971290339213823,0.0015338671763540277,0.9418181818181818,0.004979295977319616,0.010102837247994661,0.0018430413834092058,0.017377942727787643,0.004780420874656445,0.06291585548760795,0.004563696033803862,0.2020567449598932,0.036860827668184125,0.0,0.0,3.0103851799969563,0.09548091209346374,0.008636720004142262,0.0026054521964235435,0.4580593918065322,0.013816021294247086
glucose,RGB_HSV_combined,SVR,patch,0.4348737122295864,0.03855984236747253,0.9397007929851761,0.08982607783255055,0.9800663156487991,0.003864543997630688,0.9136349206124283,0.007288546284160145,0.02174368561147932,0.0019279921183736272,0.0469850396492588,0.004491303891627527,0.09500958585603492,0.005761837136932512,0.45453893794881645,0.03641934099770981,0.05569377990430622,0.020382999751665586,3.0103851799969563,0.09548091209346374,0.008636720004142262,0.0026054521964235435,0.4580593918065322,0.013816021294247086
glucose,RGB_primary,ElasticNet,concentration_median,1.3537849538604505,0.04787994906136258,2.3951829000039493,0.09120481489411174,0.8712859071169372,0.009650393786630379,0.9163636363636364,0.013483997249264915,0.06768924769302251,0.0023939974530681274,0.11975914500019746,0.004560240744705586,0.16966220751665964,0.006207974307130969,1.353910886841582,0.047949258896332635,0.01818181818181818,0.040655781409087086,0.2838487399945734,0.034556988006791536,0.0013030200032517314,4.9774867108746847e-05,1.4087089644518633,0.012398380227177232
glucose,RGB_primary,ElasticNet,patch,1.4028748820182588,0.025945189098690452,2.528439378093549,0.04581281083680739,0.8566939928520757,0.005167272931269917,0.8879856526546508,0.0044286376873474125,0.07014374410091294,0.0012972594549345204,0.12642196890467744,0.0022906405418403634,0.1903918209512516,0.0037294754140218753,1.4092536600343177,0.023629243273725026,0.056746411483253587,0.011619999195781027,0.2838487399945734,0.034556988006791536,0.0013030200032517314,4.9774867108746847e-05,1.4087089644518633,0.012398380227177232
