analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
glucose,Background_adjusted_secondary,ExtraTrees,5,raw,1.1773977424242426,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
glucose,Background_negative_control,ExtraTrees,5,log1p,4.090039827984607,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,Ridge,1,log1p,0.7185889524785141,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ElasticNet,1,log1p,0.7204412786090263,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_primary,SVR,1,raw,0.15298881495050104,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_primary,RandomForest,1,log1p,0.1437866306834983,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ExtraTrees,1,log1p,0.09303740154621355,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,HSV_primary,Ridge,1,log1p,0.46053740649785774,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,HSV_primary,ElasticNet,1,log1p,0.45432300462521436,"{""alpha"": 0.01, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,HSV_primary,SVR,1,log1p,0.1097478101850041,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
ketone,HSV_primary,RandomForest,1,raw,0.04057977777777779,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,ExtraTrees,1,log1p,0.04469715403826482,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,Ridge,1,log1p,0.36427923025146486,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
