analyte,outer_fold,evaluation_unit,comparison_model,mae,rmse,r2,spearman_rho,normalized_mae,normalized_rmse,mean_absolute_log1p_error,unclipped_mae,clipped_fraction,n_observations
glucose,2,patch,Nested-selected ML,0.3855955342902711,1.0318119128494976,0.9761413243740894,0.9026158873627342,0.0192797767145135,0.0515905956424748,0.0872686441913462,0.3855955342902711,0.0,209
glucose,2,concentration_median,Nested-selected ML,0.1291939393939394,0.2394236927425199,0.9987153657197616,0.9454545454545454,0.0064596969696969,0.0119711846371259,0.0499544315786379,0.1291939393939394,0.0,11
glucose,3,patch,Nested-selected ML,0.4092119592074137,1.0326961427737005,0.9761004146032,0.913387856704986,0.0204605979603706,0.051634807138685,0.0856008012176024,0.4092119592074137,0.0,209
glucose,3,concentration_median,Nested-selected ML,0.1133690885153466,0.1924976049496043,0.999169583599072,0.9454545454545454,0.0056684544257673,0.0096248802474802,0.0508626012018355,0.1133690885153466,0.0,11
glucose,4,patch,Nested-selected ML,0.3141457735247209,0.772592441924232,0.9866233868443506,0.9159289848892376,0.015707288676236,0.0386296220962116,0.0790490973880357,0.3141457735247209,0.0,209
glucose,4,concentration_median,Nested-selected ML,0.1113575757575758,0.1899177855086913,0.9991916926413772,0.9454545454545454,0.0055678787878787,0.0094958892754345,0.0571495833696058,0.1113575757575758,0.0,11
glucose,5,patch,Nested-selected ML,0.2974874003189793,0.846283075181496,0.983949943401532,0.9181755984599048,0.0148743700159489,0.0423141537590748,0.0749502824737178,0.2974874003189793,0.0,209
glucose,5,concentration_median,Nested-selected ML,0.0940787878787879,0.1769521044597302,0.9992982915260088,0.9454545454545454,0.0047039393939393,0.0088476052229865,0.041330269643629,0.0940787878787879,0.0,11
ketone,1,patch,Nested-selected ML,0.0347870833333333,0.2206310002016942,0.9957471642050212,0.9741872946735114,0.0034787083333333,0.0220631000201694,0.0154665971965775,0.0347870833333333,0.0,160
ketone,1,concentration_median,Nested-selected ML,0.0025708333333333,0.0044474243482417,0.9999982719246084,1.0,0.0002570833333333,0.0004447424348241,0.0024309908343284,0.0025708333333333,0.0,8
ketone,2,patch,Nested-selected ML,0.0121460526315789,0.0442749513358227,0.9998287377158288,0.9746011552924488,0.0012146052631578,0.0044274951335822,0.0093154460320449,0.0121460526315789,0.0,152
ketone,2,concentration_median,Nested-selected ML,0.001375,0.0029267919487232,0.9999992516078036,1.0,0.0001375,0.0002926791948723,0.0012803095232356,0.001375,0.0,8
ketone,3,patch,Nested-selected ML,0.0649662280701754,0.4095923659299208,0.9853428593913434,0.969649033821668,0.0064966228070175,0.040959236592992,0.0202839084996055,0.0649662280701754,0.0,152
ketone,3,concentration_median,Nested-selected ML,0.0025333333333333,0.004412482294582,0.9999982989718588,1.0,0.0002533333333333,0.0004412482294582,0.0023807226090184,0.0025333333333333,0.0,8
ketone,4,patch,Nested-selected ML,0.0459535087719298,0.3402342115564663,0.9898864992936124,0.9757074062037752,0.0045953508771929,0.0340234211556466,0.0178391799311785,0.0459535087719298,0.0,152
ketone,4,concentration_median,Nested-selected ML,0.00145,0.0031813693767167,0.9999991157527056,1.0,0.000145,0.0003181369376716,0.0014213557843618,0.00145,0.0,8
ketone,5,patch,Nested-selected ML,0.0459925438596491,0.4076946512823175,0.985478363061024,0.9781900367519992,0.0045992543859649,0.0407694651282317,0.0136910753484268,0.0459925438596491,0.0,152
ketone,5,concentration_median,Nested-selected ML,0.0023833333333333,0.0038828683555674,0.9999986828025538,1.0,0.0002383333333333,0.0003882868355567,0.0022786859792956,0.0023833333333333,0.0,8
glucose,1,patch,CNN central ROI,0.4633782444999741,0.8813508289378269,0.982592239944453,0.9089451432881532,0.0231689122249987,0.0440675414468913,0.1139539742196331,0.5066281161283985,0.2,220
glucose,1,concentration_median,CNN central ROI,0.2111874591494388,0.2756669322695834,0.9982970001733218,0.9066082746806284,0.0105593729574719,0.0137833466134791,0.0791303145495293,0.2275720286201321,0.1818181818181818,11
glucose,2,patch,CNN central ROI,0.4945220102007491,1.0146975769638826,0.9769262329446504,0.9187899694143732,0.0247261005100374,0.0507348788481941,0.1041211573902821,0.5241634167253733,0.138755980861244,209
glucose,2,concentration_median,CNN central ROI,0.2802317685051305,0.421079583740093,0.9960264962511164,0.9454545454545454,0.0140115884252565,0.0210539791870046,0.0709550993003901,0.2858330188999029,0.0909090909090909,11
glucose,3,patch,CNN central ROI,0.4993141226581833,1.0108301248359757,0.9771017859994214,0.9130290336469944,0.0249657061329091,0.0505415062417987,0.1041333233765127,0.5296059803632434,0.1674641148325359,209
glucose,3,concentration_median,CNN central ROI,0.2530041903687681,0.3682565502663727,0.9969608914092714,0.9430548384868848,0.0126502095184384,0.0184128275133186,0.0712139953685126,0.2638744086566423,0.1818181818181818,11
glucose,4,patch,CNN central ROI,0.4656852035956594,0.852548312991302,0.9837114188467164,0.9243476509296292,0.0232842601797829,0.0426274156495651,0.1057698961749823,0.5252625815477626,0.062200956937799,209
glucose,4,concentration_median,CNN central ROI,0.2281780278371518,0.3361243426020885,0.9974681079280622,0.9363636363636364,0.0114089013918575,0.0168062171301044,0.0788971843025454,0.2459045280259979,0.0909090909090909,11
glucose,5,patch,CNN central ROI,0.4153131528752722,0.7987609276899396,0.9857018818116802,0.9106797240955804,0.0207656576437636,0.0399380463844969,0.1030936225470596,0.4593680688640043,0.1291866028708134,209
glucose,5,concentration_median,CNN central ROI,0.1775650644467146,0.2478427533816541,0.9986234318796674,0.9454545454545454,0.0088782532223357,0.0123921376690827,0.0682413254186919,0.1786478881567309,0.0909090909090909,11
