analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,tiny,hue_circular,raw,1,64,0.040449433073853,0.5951150278801736,0.000125
glucose,1,tiny,hue_circular,raw,1,65,0.04142309872038437,0.5764783684620054,0.000125
glucose,1,tiny,hue_circular,raw,1,66,0.04261090116518917,0.5774695611984536,0.000125
glucose,1,tiny,hue_circular,raw,1,67,0.03958236841541348,0.5799529000891274,0.000125
glucose,1,tiny,hue_circular,raw,1,68,0.038988819554673905,0.5837323464655456,0.000125
glucose,1,tiny,hue_circular,raw,1,69,0.04068376823808208,0.669675202059742,0.000125
glucose,1,tiny,hue_circular,raw,1,70,0.03607423384532784,0.6781001285550349,0.000125
glucose,1,tiny,hue_circular,raw,1,71,0.03950392659189123,0.5916545413756823,0.000125
glucose,1,tiny,hue_circular,raw,1,72,0.036733917463006395,0.5843833757550337,0.000125
glucose,1,tiny,hue_circular,raw,1,73,0.036547493934631345,0.5811556386148962,6.25e-05
glucose,1,tiny,hue_circular,raw,1,74,0.038824359542041116,0.5831952126180914,6.25e-05
glucose,1,tiny,hue_circular,raw,1,75,0.039566787738691676,0.6052353431781937,6.25e-05
glucose,1,tiny,hue_circular,raw,1,76,0.03622500228159355,0.5939731170681927,6.25e-05
glucose,1,tiny,hue_circular,raw,1,77,0.03945600149983709,0.5966275695700222,6.25e-05
glucose,1,tiny,hue_circular,raw,1,78,0.03936038003726439,0.5925320914393843,6.25e-05
glucose,1,tiny,hue_circular,raw,1,79,0.039418162631266046,0.5967725608311664,6.25e-05
glucose,1,tiny,hue_circular,raw,1,80,0.03880410849144964,0.6044910255487761,3.125e-05
glucose,1,lite,rgb,raw,1,1,0.5023465147524169,5.241625023792432,0.001
glucose,1,lite,rgb,raw,1,2,0.34557817343509556,4.994044299898336,0.001
glucose,1,lite,rgb,raw,1,3,0.22625584746852065,4.819250842406428,0.001
glucose,1,lite,rgb,raw,1,4,0.16919978387428053,4.775699392949975,0.001
glucose,1,lite,rgb,raw,1,5,0.14104920169620802,4.751495906571197,0.001
glucose,1,lite,rgb,raw,1,6,0.11411304464845946,4.464415407959975,0.001
glucose,1,lite,rgb,raw,1,7,0.12474779893051494,3.800652244282782,0.001
glucose,1,lite,rgb,raw,1,8,0.11617773084929495,2.8997201690944894,0.001
glucose,1,lite,rgb,raw,1,9,0.1135319297060822,2.1340443734412777,0.001
glucose,1,lite,rgb,raw,1,10,0.11730962278264942,1.7084694033615833,0.001
glucose,1,lite,rgb,raw,1,11,0.11148715992317056,1.5471552381262108,0.001
glucose,1,lite,rgb,raw,1,12,0.10469658370270873,1.3537317475809088,0.001
glucose,1,lite,rgb,raw,1,13,0.10250281149690801,1.2128651830582415,0.001
glucose,1,lite,rgb,raw,1,14,0.10959020613720923,1.1728919411678989,0.001
glucose,1,lite,rgb,raw,1,15,0.09860236184163527,1.1273107126827264,0.001
glucose,1,lite,rgb,raw,1,16,0.10445169869697456,1.0147211447359867,0.001
glucose,1,lite,rgb,raw,1,17,0.07140437109452305,0.938485726778331,0.001
glucose,1,lite,rgb,raw,1,18,0.06304159385688377,0.8905245722368793,0.001
glucose,1,lite,rgb,raw,1,19,0.06693205968900161,0.7996627726827982,0.001
glucose,1,lite,rgb,raw,1,20,0.058899946307594125,0.9974565711283877,0.001
glucose,1,lite,rgb,raw,1,21,0.059198287761572634,0.7438459307304754,0.001
glucose,1,lite,rgb,raw,1,22,0.049495443611434015,0.7421229890662531,0.001
glucose,1,lite,rgb,raw,1,23,0.049903349488070514,0.7461256858049385,0.001
glucose,1,lite,rgb,raw,1,24,0.058911093482465454,0.6937343258794307,0.001
glucose,1,lite,rgb,raw,1,25,0.05520764065511299,0.8757502190079051,0.001
glucose,1,lite,rgb,raw,1,26,0.04964434084567157,0.7373279454763213,0.001
glucose,1,lite,rgb,raw,1,27,0.04328279890345805,0.7742704483854688,0.001
glucose,1,lite,rgb,raw,1,28,0.055042908837397896,0.7168198687404567,0.001
glucose,1,lite,rgb,raw,1,29,0.04697720469398932,0.8387748246110281,0.001
glucose,1,lite,rgb,raw,1,30,0.053246250297084,0.6732220425570763,0.001
glucose,1,lite,rgb,raw,1,31,0.05566364793163357,0.6494401810760926,0.001
glucose,1,lite,rgb,raw,1,32,0.05402518411477407,0.7522908743546118,0.001
glucose,1,lite,rgb,raw,1,33,0.04841537403337883,0.7410123038059976,0.001
glucose,1,lite,rgb,raw,1,34,0.05380049402063543,0.7029814082435243,0.001
glucose,1,lite,rgb,raw,1,35,0.044807171099113696,0.6727762270441809,0.001
glucose,1,lite,rgb,raw,1,36,0.058964029970494186,0.6735517564278308,0.001
glucose,1,lite,rgb,raw,1,37,0.05036941906719497,0.6849252087597736,0.001
